,0,1,2
282,Ყ,GEORGIAN MTAVRULI CAPITAL LETTER QAR (U+1CA7),e1b2a7
283,Შ,GEORGIAN MTAVRULI CAPITAL LETTER SHIN (U+1CA8),e1b2a8
284,Ჩ,GEORGIAN MTAVRULI CAPITAL LETTER CHIN (U+1CA9),e1b2a9
285,Ც,GEORGIAN MTAVRULI CAPITAL LETTER CAN (U+1CAA),e1b2aa
286,Ძ,GEORGIAN MTAVRULI CAPITAL LETTER JIL (U+1CAB),e1b2ab
287,Წ,GEORGIAN MTAVRULI CAPITAL LETTER CIL (U+1CAC),e1b2ac
288,Ჭ,GEORGIAN MTAVRULI CAPITAL LETTER CHAR (U+1CAD),e1b2ad
289,Ხ,GEORGIAN MTAVRULI CAPITAL LETTER XAN (U+1CAE),e1b2ae
290,Ჯ,GEORGIAN MTAVRULI CAPITAL LETTER JHAN (U+1CAF),e1b2af
291,Ჰ,GEORGIAN MTAVRULI CAPITAL LETTER HAE (U+1CB0),e1b2b0
292,Ჱ,GEORGIAN MTAVRULI CAPITAL LETTER HE (U+1CB1),e1b2b1
293,Ჲ,GEORGIAN MTAVRULI CAPITAL LETTER HIE (U+1CB2),e1b2b2
294,Ჳ,GEORGIAN MTAVRULI CAPITAL LETTER WE (U+1CB3),e1b2b3
295,Ჴ,GEORGIAN MTAVRULI CAPITAL LETTER HAR (U+1CB4),e1b2b4
296,Ჵ,GEORGIAN MTAVRULI CAPITAL LETTER HOE (U+1CB5),e1b2b5
297,Ჶ,GEORGIAN MTAVRULI CAPITAL LETTER FI (U+1CB6),e1b2b6
298,Ჷ,GEORGIAN MTAVRULI CAPITAL LETTER YN (U+1CB7),e1b2b7
299,Ჸ,GEORGIAN MTAVRULI CAPITAL LETTER ELIFI (U+1CB8),e1b2b8
300,Ჹ,GEORGIAN MTAVRULI CAPITAL LETTER TURNED GAN (U+1CB9),e1b2b9
301,Ჺ,GEORGIAN MTAVRULI CAPITAL LETTER AIN (U+1CBA),e1b2ba
302,Ჽ,GEORGIAN MTAVRULI CAPITAL LETTER AEN (U+1CBD),e1b2bd
303,Ჾ,GEORGIAN MTAVRULI CAPITAL LETTER HARD SIGN (U+1CBE),e1b2be
304,Ჿ,GEORGIAN MTAVRULI CAPITAL LETTER LABIAL SIGN (U+1CBF),e1b2bf
305,᳀,SUNDANESE PUNCTUATION BINDU SURYA (U+1CC0),e1b380
306,᳁,SUNDANESE PUNCTUATION BINDU PANGLONG (U+1CC1),e1b381
307,᳂,SUNDANESE PUNCTUATION BINDU PURNAMA (U+1CC2),e1b382
308,᳃,SUNDANESE PUNCTUATION BINDU CAKRA (U+1CC3),e1b383
309,᳄,SUNDANESE PUNCTUATION BINDU LEU SATANGA (U+1CC4),e1b384
310,᳅,SUNDANESE PUNCTUATION BINDU KA SATANGA (U+1CC5),e1b385
311,᳆,SUNDANESE PUNCTUATION BINDU DA SATANGA (U+1CC6),e1b386
312,᳇,SUNDANESE PUNCTUATION BINDU BA SATANGA (U+1CC7),e1b387
313,᳐,VEDIC TONE KARSHANA (U+1CD0),e1b390
314,᳑,VEDIC TONE SHARA (U+1CD1),e1b391
315,᳒,VEDIC TONE PRENKHA (U+1CD2),e1b392
316,᳓,VEDIC SIGN NIHSHVASA (U+1CD3),e1b393
317,᳔,VEDIC SIGN YAJURVEDIC MIDLINE SVARITA (U+1CD4),e1b394
318,᳕,VEDIC TONE YAJURVEDIC AGGRAVATED INDEPENDENT SVARITA (U+1CD5),e1b395
319,᳖,VEDIC TONE YAJURVEDIC INDEPENDENT SVARITA (U+1CD6),e1b396
320,᳗,VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA (U+1CD7),e1b397
321,᳘,VEDIC TONE CANDRA BELOW (U+1CD8),e1b398
322,᳙,VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA SCHROEDER (U+1CD9),e1b399
323,᳚,VEDIC TONE DOUBLE SVARITA (U+1CDA),e1b39a
324,᳛,VEDIC TONE TRIPLE SVARITA (U+1CDB),e1b39b
325,᳜,VEDIC TONE KATHAKA ANUDATTA (U+1CDC),e1b39c
326,᳝,VEDIC TONE DOT BELOW (U+1CDD),e1b39d
327,᳞,VEDIC TONE TWO DOTS BELOW (U+1CDE),e1b39e
328,᳟,VEDIC TONE THREE DOTS BELOW (U+1CDF),e1b39f
329,᳠,VEDIC TONE RIGVEDIC KASHMIRI INDEPENDENT SVARITA (U+1CE0),e1b3a0
330,᳡,VEDIC TONE ATHARVAVEDIC INDEPENDENT SVARITA (U+1CE1),e1b3a1
331,᳢,VEDIC SIGN VISARGA SVARITA (U+1CE2),e1b3a2
332,᳣,VEDIC SIGN VISARGA UDATTA (U+1CE3),e1b3a3
333,᳤,VEDIC SIGN REVERSED VISARGA UDATTA (U+1CE4),e1b3a4
334,᳥,VEDIC SIGN VISARGA ANUDATTA (U+1CE5),e1b3a5
335,᳦,VEDIC SIGN REVERSED VISARGA ANUDATTA (U+1CE6),e1b3a6
336,᳧,VEDIC SIGN VISARGA UDATTA WITH TAIL (U+1CE7),e1b3a7
337,᳨,VEDIC SIGN VISARGA ANUDATTA WITH TAIL (U+1CE8),e1b3a8
338,ᳩ,VEDIC SIGN ANUSVARA ANTARGOMUKHA (U+1CE9),e1b3a9
339,ᳪ,VEDIC SIGN ANUSVARA BAHIRGOMUKHA (U+1CEA),e1b3aa
340,ᳫ,VEDIC SIGN ANUSVARA VAMAGOMUKHA (U+1CEB),e1b3ab
